# Generated by PyFunceble (v4.3.1.dev) / https://pyfunceble.github.io
# Date of generation: 2026-07-04T22:36:06.962281+00:00

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
NameCheap, Inc.                14%          22          
NameSilo, LLC                  13%          20          
CommuniGal Communication Ltd.  9%           14          
Dynadot Inc                    9%           14          
Dynadot LLC                    7%           10          
GMO Internet Group, Inc. d/b/a Onamae.com 5%           8           
Namecheap                      4%           6           
Spaceship, Inc.                4%           6           
Danesco Trading Ltd.           3%           4           
GoDaddy.com, LLC               3%           4           
HOSTINGER operations, UAB      3%           4           
NAMECHEAP                      3%           4           
Porkbun                        3%           4           
101domain GRS Limited          1%           2           
Big Dipper Domains, LLC        1%           2           
NameCheap, Inc.                14%          22          
NameSilo, LLC                  13%          20          
CommuniGal Communication Ltd.  9%           14          
Dynadot Inc                    9%           14          
Dynadot LLC                    7%           10          
GMO Internet Group, Inc. d/b/a Onamae.com 5%           8           
Namecheap                      4%           6           
Spaceship, Inc.                4%           6           
Danesco Trading Ltd.           3%           4           
GoDaddy.com, LLC               3%           4           
HOSTINGER operations, UAB      3%           4           
NAMECHEAP                      3%           4           
Porkbun                        3%           4           
101domain GRS Limited          1%           2           
Big Dipper Domains, LLC        1%           2           
